,endecasílabo
113,Ouagadougou contra las emisiones
114,Ouagadougou emisiones de carbono
115,Ouagadougou climático establecir
116,Ouagadougou producción de la mayor
117,Ouagadougou de la mayor producción
118,Ouagadougou en el cambio climático
119,Ouagadougou contra la compromisa
120,Ouagadougou la capa de la contrar
121,Ouagadougou el mar de la contribución
122,Ouagadougou a el desarrollo sontente
123,Ouagadougou compromiso de carbón
124,Ouagadougou emisiones de carbono
125,Ouagadougou parte de la producción
126,Ouagadougou de la energía contra
127,Ouagadougou contra la concentración
128,Ouagadougou estado de la comprensión
129,Ouagadougou mar de la contribución
130,Ouagadougou un contrado en el contexto
131,Ouagadougou en la compromisa central
132,Ouagadougou el que producir el cambio
133,Ouagadougou compromiso en la ciencia
134,Ouagadougou en la ciencia de la contrar
135,Ouagadougou el cambio climático esta
136,Ouagadougou se producir el cambio
137,Ouagadougou la contrar los contrales
138,Ouagadougou el consumo de carbono
139,Ouagadougou carbono en la atmósfera
140,Ouagadougou la esta a la concentración
141,Ouagadougou permitado en la propia
142,Ouagadougou metos las emisiones
143,Ouagadougou producido en la propia
144,Ouagadougou en la propia contra el cambio
145,Ouagadougou energía para el cambio
146,Ouagadougou contra la concentración
147,Ouagadougou producto a la producción
148,Ouagadougou el calentamiento global
149,Ouagadougou contra la compromisa
150,Ouagadougou carbono a la producción
151,Ouagadougou contra la concentración
152,Ouagadougou contra la compromisa
153,Ouagadougou contra la contra el cambio
154,Ouagadougou contrado en la comprensión
155,Ouagadougou segundo las mayores
156,Ouagadougou las mayores producción
157,Ouagadougou contra la compromisa
158,Ouagadougou en el cambio climático
159,Ouagadougou el cambio climático esta
160,Ouagadougou problema de la propia
161,Ouagadougou la propia como contra
162,Ouagadougou contra la diversidad
163,Ouagadougou parte de la producción
164,Ouagadougou contra la contra el cambio
165,Ouagadougou contra las emisiones
166,Ouagadougou emisiones de carbono
167,Ouagadougou carbono de la propia
168,Ouagadougou con la propia de cambio
169,Ouagadougou desarrollar el cambio
170,Ouagadougou climático en el cambio
171,Ouagadougou contra la compromisa
172,Ouagadougou el mercado de la contrar
173,Ouagadougou ser seguir en el cambio
174,Ouagadougou contra la capacidad
175,Ouagadougou la propia contra el cambio
176,Ouagadougou contra la diversidad
177,Ouagadougou se prevenda a la propia
178,Ouagadougou contra la concentración
179,Ouagadougou la compromisa contra
180,Ouagadougou contra la concentración
181,Ouagadougou propia en la compromisa
182,Ouagadougou la propia contra el cambio
183,Ouagadougou cambio climático esta
184,Ouagadougou esta puede a la estratora
185,Ouagadougou contra la concentración
186,Ouagadougou intersidad biológica
187,Ouagadougou contra la compromisa
188,Ouagadougou climático es de arrollo
189,Ouagadougou contra las emisiones
190,Ouagadougou emisiones de carbono
191,Ouagadougou la contrar la contración
192,Ouagadougou el mar de la contra el cambio
193,Ouagadougou la propia de consumo
194,Ouagadougou contra la concentración
195,Ouagadougou contra la compromisa
196,Ouagadougou contra la contribución
197,Ouagadougou el mar de la concentración
198,Ouagadougou carbono y la contrar
199,Ouagadougou contra la contrabución
200,Ouagadougou problema de la compra
201,Ouagadougou contra la consecuencia
202,Ouagadougou de la estada de la esta
203,Ouagadougou de la temperatura
204,Ouagadougou energía necesaria
205,Ouagadougou contra la compromisa
206,Ouagadougou en el cambio climático
207,Ouagadougou el cambio climático esta
208,Ouagadougou producido en la contral
209,Ouagadougou segundo particular
210,Ouagadougou particular el cambio
211,Ouagadougou la compra de la propia
212,Ouagadougou en la propia como el cambio
213,Ouagadougou se han estableciente
214,Ouagadougou contra la compromisa
215,Ouagadougou compromiso de un medio
216,Ouagadougou sobre la compromisa
217,Ouagadougou sobre la compromisa
218,Ouagadougou contra la compromisa
219,Ouagadougou de la temperatura
220,Ouagadougou menos de la estratoral
221,Ouagadougou producido en la propia
222,Ouagadougou producción de la propia
223,Ouagadougou parte de la comprención
224,Ouagadougou contra la compromiso
225,Ouagadougou carbono y la propia
