,endecasílabo
233,Amboasary el contral de la propia
234,Amboasary el cambio climático
235,Amboasary sobre la compromisa
236,Amboasary sobre la compromisa
237,Amboasary estado en la atmósfera
238,Amboasary contra la compromisa
239,Amboasary de la temperatura
240,Amboasary menos de la estratoral
241,Amboasary estado a la producción
242,Amboasary producido en la propia
243,Amboasary producción de la propia
244,Amboasary antes de contra el cambio
245,Amboasary parte de la comprención
246,Amboasary contra la compromiso
247,Amboasary al cambio climático
248,Amboasary carbono y la propia
